t,if,il,vl
4.3600,5.0000,8.3147,-3.3147
4.3700,5.0000,8.2817,-3.2817
4.3800,5.0000,8.2491,-3.2491
4.3900,5.0000,8.2167,-3.2167
4.4000,5.0000,8.1847,-3.1847
4.4100,5.0000,8.1530,-3.1530
4.4200,5.0000,8.1217,-3.1217
4.4300,5.0000,8.0906,-3.0906
4.4400,5.0000,8.0599,-3.0599
4.4500,5.0000,8.0294,-3.0294
4.4600,5.0000,7.9993,-2.9993
4.4700,5.0000,7.9694,-2.9694
4.4800,5.0000,7.9399,-2.9399
4.4900,5.0000,7.9106,-2.9106
4.5000,5.0000,7.8817,-2.8817
4.5100,5.0000,7.8530,-2.8530
4.5200,5.0000,7.8246,-2.8246
4.5300,5.0000,7.7965,-2.7965
4.5400,5.0000,7.7687,-2.7687
4.5500,5.0000,7.7411,-2.7411
4.5600,5.0000,7.7139,-2.7139
4.5700,5.0000,7.6868,-2.6868
4.5800,5.0000,7.6601,-2.6601
4.5900,5.0000,7.6336,-2.6336
4.6000,5.0000,7.6074,-2.6074
4.6100,5.0000,7.5815,-2.5815
4.6200,5.0000,7.5558,-2.5558
4.6300,5.0000,7.5304,-2.5304
4.6400,5.0000,7.5052,-2.5052
4.6500,5.0000,7.4803,-2.4803
4.6600,5.0000,7.4556,-2.4556
4.6700,5.0000,7.4312,-2.4312
4.6800,5.0000,7.4070,-2.4070
4.6900,5.0000,7.3830,-2.3830
4.7000,5.0000,7.3593,-2.3593
4.7100,5.0000,7.3358,-2.3358
4.7200,5.0000,7.3126,-2.3126
4.7300,5.0000,7.2896,-2.2896
4.7400,5.0000,7.2668,-2.2668
4.7500,5.0000,7.2442,-2.2442
4.7600,5.0000,7.2219,-2.2219
4.7700,5.0000,7.1998,-2.1998
4.7800,5.0000,7.1779,-2.1779
4.7900,5.0000,7.1562,-2.1562
4.8000,5.0000,7.1348,-2.1348
4.8100,5.0000,7.1135,-2.1135
4.8200,5.0000,7.0925,-2.0925
4.8300,5.0000,7.0717,-2.0717
4.8400,5.0000,7.0511,-2.0511
4.8500,5.0000,7.0307,-2.0307
4.8600,5.0000,7.0105,-2.0105
4.8700,5.0000,6.9905,-1.9905
4.8800,5.0000,6.9707,-1.9707
4.8900,5.0000,6.9511,-1.9511
4.9000,5.0000,6.9316,-1.9316
4.9100,5.0000,6.9124,-1.9124
4.9200,5.0000,6.8934,-1.8934
4.9300,5.0000,6.8746,-1.8746
4.9400,5.0000,6.8559,-1.8559
4.9500,5.0000,6.8374,-1.8374
4.9600,5.0000,6.8191,-1.8191
4.9700,5.0000,6.8010,-1.8010
4.9800,5.0000,6.7831,-1.7831
4.9900,5.0000,6.7654,-1.7654
5.0000,5.0000,6.7478,-1.7478
5.0100,5.0000,6.7304,-1.7304
5.0200,5.0000,6.7132,-1.7132
5.0300,5.0000,6.6962,-1.6962
5.0400,5.0000,6.6793,-1.6793
5.0500,5.0000,6.6626,-1.6626
5.0600,5.0000,6.6460,-1.6460
5.0700,5.0000,6.6297,-1.6297
5.0800,5.0000,6.6134,-1.6134
5.0900,5.0000,6.5974,-1.5974
5.1000,5.0000,6.5815,-1.5815
5.1100,5.0000,6.5658,-1.5658
5.1200,5.0000,6.5502,-1.5502
5.1300,5.0000,6.5348,-1.5348
5.1400,5.0000,6.5195,-1.5195
5.1500,5.0000,6.5044,-1.5044
5.1600,5.0000,6.4894,-1.4894
5.1700,5.0000,6.4746,-1.4746
